id,name,cmc,cost,type,rarity,abilities,text,power,toughness,rating
1,Aegis of the Gods,2,{1}{W},Enchantment Creature - Human Soldier,Rare,Hexproof,You have hexproof. <i>(You can't be the target of spells or abilities your opponents control.)</i>,2,1,8
2,Ajani's Presence,1,{W},Instant,Common,"Strive, Indestructible","Strive- Ajani's Presence costs {2}{W} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain indestructible until end of turn. <i>(Damage and effects that say ""destroy"" don't destroy them.)</i>",,,12
3,Akroan Mastiff,4,{3}{W},Creature - Hound,Common,,"{W}, {T}: Tap target creature.",2,2,7
4,Armament of Nyx,3,{2}{W},Enchantment - Aura,Common,"Enchant, Double Strike","Enchant creature<br>Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. <i>(A creature with double strike deals both first-strike and regular combat damage.)</i>",,,14
5,Banishing Light,3,{2}{W},Enchantment,Uncommon,,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield. <i>(That permanent returns under its owner's control.)</i>",,,11
6,Dawnbringer Charioteers,4,{2}{W}{W},Creature - Human Soldier,Rare,"Flying, Lifelink, Heroic","Flying, lifelink<br>Heroic- Whenever you cast a spell that targets Dawnbringer Charioteers, put a +1/+1 counter on Dawnbringer Charioteers.",2,4,9
7,Deicide,2,{1}{W},Instant,Rare,,"Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them, then that player shuffles his or her library.",,,10
8,Dictate of Heliod,5,{3}{W}{W},Enchantment,Rare,Flash,Flash<br>Creatures you control get +2/+2.,,,2
9,Eagle of the Watch,3,{2}{W},Creature - Bird,Common,"Flying, Vigilance","Flying, vigilance",2,1,7
10,Eidolon of Rhetoric,3,{2}{W},Enchantment Creature - Spirit,Uncommon,,Each player can't cast more than one spell each turn.,1,4,7
11,Font of Vigor,2,{1}{W},Enchantment,Common,,"{2}{W}, Sacrifice Font of Vigor: You gain 7 life.",,,11
12,Godsend,3,{1}{W}{W},Legendary Artifact - Equipment,Mythic Rare,Equip,"Equipped creature gets +3/+3.<br>Whenever equipped creature blocks or becomes blocked by one or more creatures, you may exile one of those creatures.<br>Opponents can't cast cards with the same name as cards exiled with Godsend.<br>Equip {3}",,,9
13,Harvestguard Alseids,3,{2}{W},Enchantment Creature - Nymph,Common,Constellation,"Constellation- Whenever Harvestguard Alseids or another enchantment enters the battlefield under your control, prevent all damage that would be dealt to target creature this turn.",2,3,10
14,Lagonna-Band Trailblazer,1,{W},Creature - Centaur Scout,Common,Heroic,"Heroic- Whenever you cast a spell that targets Lagonna-Band Trailblazer, put a +1/+1 counter on Lagonna-Band Trailblazer.",0,4,6
15,Launch the Fleet,1,{W},Sorcery,Rare,Strive,"Strive- Launch the Fleet costs {1} more to cast for each target beyond the first.<br>Until end of turn, any number of target creatures each gain ""Whenever this creature attacks, put a 1/1 white Soldier creature token onto the battlefield tapped and attacking.""",,,2
16,Leonin Iconoclast,4,{3}{W},Creature - Cat Monk,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Leonin Iconoclast, destroy target enchantment creature an opponent controls.",3,2,4
17,Mortal Obstinacy,1,{W},Enchantment - Aura,Common,Enchant,"Enchant creature you control<br>Enchanted creature gets +1/+1.<br>Whenever enchanted creature deals combat damage to a player, you may sacrifice Mortal Obstinacy. If you do, destroy target enchantment.",,,8
18,Nyx-Fleece Ram,2,{1}{W},Enchantment Creature - Sheep,Uncommon,,"At the beginning of your upkeep, you gain 1 life.",0,5,10
19,Oppressive Rays,1,{W},Enchantment - Aura,Common,Enchant,Enchant creature<br>Enchanted creature can't attack or block unless its controller pays {3}.<br>Activated abilities of enchanted creature cost {3} more to activate.,,,5
20,Oreskos Swiftclaw,2,{1}{W},Creature - Cat Warrior,Common,,,3,1,11
21,Phalanx Formation,3,{2}{W},Instant,Uncommon,"Strive, Double Strike",Strive- Phalanx Formation costs {1}{W} more to cast for each target beyond the first.<br>Any number of target creatures each gain double strike until end of turn. <i>(They deal both first-strike and regular combat damage.)</i>,,,7
22,Quarry Colossus,7,{5}{W}{W},Creature - Giant,Uncommon,,"When Quarry Colossus enters the battlefield, put target creature into its owner's library just beneath the top X cards of that library, where X is the number of Plains you control.",5,6,8
23,Reprisal,2,{1}{W},Instant,Uncommon,,Destroy target creature with power 4 or greater. It can't be regenerated.,,,8
24,Sightless Brawler,2,{1}{W},Enchantment Creature - Human Warrior,Uncommon,Bestow,"Bestow {4}{W} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Sightless Brawler can't attack alone.<br>Enchanted creature gets +3/+2 and can't attack alone.",3,2,9
25,Skybind,5,{3}{W}{W},Enchantment,Rare,Constellation,"Constellation- Whenever Skybind or another enchantment enters the battlefield under your control, exile target nonenchantment permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.",,,7
26,Skyspear Cavalry,5,{3}{W}{W},Creature - Human Soldier,Uncommon,"Flying, Double Strike",Flying<br>Double strike <i>(This creature deals both first-strike and regular combat damage.)</i>,2,2,6
27,Stonewise Fortifier,2,{1}{W},Creature - Human Wizard,Common,,{4}{W}: Prevent all damage that would be dealt to Stonewise Fortifier by target creature this turn.,2,2,8
28,Supply-Line Cranes,5,{3}{W}{W},Creature - Bird,Common,Flying,"Flying<br>When Supply-Line Cranes enters the battlefield, put a +1/+1 counter on target creature.",2,4,12
29,Tethmos High Priest,3,{2}{W},Creature - Cat Cleric,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Tethmos High Priest, return target creature card with converted mana cost 2 or less from your graveyard to the battlefield.",2,3,10
30,Aerial Formation,1,{U},Instant,Common,"Strive, Flying",Strive- Aerial Formation costs {2}{U} more to cast for each target beyond the first.<br>Any number of target creatures each get +1/+1 and gain flying until end of turn.,,,9
31,Battlefield Thaumaturge,2,{1}{U},Creature - Human Wizard,Rare,"Heroic, Hexproof","Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.<br>Heroic- Whenever you cast a spell that targets Battlefield Thaumaturge, Battlefield Thaumaturge gains hexproof until end of turn.",2,1,9
32,Cloaked Siren,4,{3}{U},Creature - Siren,Common,"Flash, Flying",Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying,3,2,10
33,Countermand,4,{2}{U}{U},Instant,Common,,Counter target spell. Its controller puts the top four cards of his or her library into his or her graveyard.,,,4
34,Crystalline Nautilus,3,{2}{U},Enchantment Creature - Nautilus,Uncommon,Bestow,"Bestow {3}{U}{U} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>When Crystalline Nautilus becomes the target of a spell or ability, sacrifice it.<br>Enchanted creature gets +4/+4 and has ""When this creature becomes the target of a spell or ability, sacrifice it.""",4,4,8
35,Dakra Mystic,1,{U},Creature - Merfolk Wizard,Uncommon,,"{U}, {T}: Each player reveals the top card of his or her library. You may put the revealed cards into their owners' graveyards. If you don't, each player draws a card.",1,1,10
36,Daring Thief,3,{2}{U},Creature - Human Rogue,Rare,Inspired,"Inspired- Whenever Daring Thief becomes untapped, you may exchange control of target nonland permanent you control and target permanent an opponent controls that shares a card type with it.",2,3,7
