id,name,cmc,cost,type,rarity,abilities,text,power,toughness,rating
1,Battlewise Valor,2,{1}{W},Instant,Common,Scry,Target creature gets +2/+2 until end of turn. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,8
2,Cavalry Pegasus,2,{1}{W},Creature - Pegasus,Common,Flying,"Flying<br>Whenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.",1,1,5
3,Celestial Archon,5,{3}{W}{W},Enchantment Creature - Archon,Rare,"Bestow, Flying, First Strike","Bestow {5}{W}{W} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Flying, first strike<br>Enchanted creature gets +4/+4 and has flying and first strike.",4,4,13
4,Chained to the Rocks,1,{W},Enchantment - Aura,Rare,Enchant,"Enchant Mountain you control<br>When Chained to the Rocks enters the battlefield, exile target creature an opponent controls until Chained to the Rocks leaves the battlefield. <i>(That creature returns under its owner's control.)</i>",,,11
5,Chosen by Heliod,2,{1}{W},Enchantment - Aura,Common,Enchant,"Enchant creature<br>When Chosen by Heliod enters the battlefield, draw a card.<br>Enchanted creature gets +0/+2.",,,5
6,Dauntless Onslaught,3,{2}{W},Instant,Uncommon,,Up to two target creatures each get +2/+2 until end of turn.,,,9
7,Decorated Griffin,5,{4}{W},Creature - Griffin,Uncommon,Flying,Flying<br>{1}{W}: Prevent the next 1 combat damage that would be dealt to you this turn.,2,3,6
8,Divine Verdict,4,{3}{W},Instant,Common,,Destroy target attacking or blocking creature.,,,9
9,"Elspeth, Sun's Champion",6,{4}{W}{W},Planeswalker - Elspeth,Mythic Rare,,"+1: Put three 1/1 white Soldier creature tokens onto the battlefield.<br>-3: Destroy all creatures with power 4 or greater.<br>-7: You get an emblem with ""Creatures you control get +2/+2 and have flying.""",,4,14
10,Ephara's Warden,4,{3}{W},Creature - Human Cleric,Common,,{T}: Tap target creature with power 3 or less.,1,2,3
11,Evangel of Heliod,6,{4}{W}{W},Creature - Human Cleric,Uncommon,Devotion,"When Evangel of Heliod enters the battlefield, put a number of 1/1 white Soldier creature tokens onto the battlefield equal to your devotion to white. <i>(Each {W} in the mana costs of permanents you control counts toward your devotion to white.)</i>",1,3,9
12,Fabled Hero,3,{1}{W}{W},Creature - Human Soldier,Rare,"Double Strike, Herioc","Double strike<br>Heroic- Whenever you cast a spell that targets Fabled Hero, put a +1/+1 counter on Fabled Hero.",2,2,12
13,Favored Hoplite,1,{W},Creature - Human Soldier,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Favored Hoplite, put a +1/+1 counter on Favored Hoplite and prevent all damage that would be dealt to it this turn.",1,2,7
14,Gift of Immortality,3,{2}{W},Enchantment - Aura,Rare,Enchant,"Enchant creature<br>When enchanted creature dies, return that card to the battlefield under its owner's control. Return Gift of Immortality to the battlefield attached to that creature at the beginning of the next end step.",,,5
15,Glare of Heresy,2,{1}{W},Sorcery,Uncommon,,Exile target white permanent.,,,2
16,Gods Willing,1,{W},Instant,Common,"Protection, Scry",Target creature you control gains protection from the color of your choice until end of turn. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,7
17,"Heliod, God of the Sun",4,{3}{W},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion, Vigilance","Indestructible<br>As long as your devotion to white is less than five, Heliod isn't a creature. <i>(Each {W} in the mana costs of permanents you control counts toward your devotion to white.)</i><br>Other creatures you control have vigilance.<br>{2}{W}{W}: Put a 2/1 white Cleric enchantment creature token onto the battlefield.",5,6,9
18,Heliod's Emissary,4,{3}{W},Enchantment Creature - Elk,Uncommon,Bestow,"Bestow {6}{W} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Whenever Heliod's Emissary or enchanted creature attacks, tap target creature an opponent controls.<br>Enchanted creature gets +3/+3.",3,3,11
19,Hopeful Eidolon,1,{W},Enchantment Creature - Spirit,Common,"Bestow, Lifelink","Bestow {3}{W} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Lifelink <i>(Damage dealt by this creature also causes you to gain that much life.)</i><br>Enchanted creature gets +1/+1 and has lifelink.",1,1,3
20,Hundred-Handed One,4,{2}{W}{W},Creature - Giant,Rare,"Vigilance, Monstrosity","Vigilance<br>{3}{W}{W}{W}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>As long as Hundred-Handed One is monstrous, it has reach and can block an additional ninety-nine creatures each combat.",3,5,12
21,Lagonna-Band Elder,3,{2}{W},Creature - Centaur Advisor,Common,,"When Lagonna-Band Elder enters the battlefield, if you control an enchantment, you gain 3 life.",3,2,8
22,Last Breath,2,{1}{W},Instant,Common,,Exile target creature with power 2 or less. Its controller gains 4 life.,,,7
23,Leonin Snarecaster,2,{1}{W},Creature - Cat Soldier,Common,,"When Leonin Snarecaster enters the battlefield, you may tap target creature.",2,1,8
24,Observant Alseid,3,{2}{W},Enchantment Creature - Nymph,Common,"Bestow, Vigilance","Bestow {4}{W} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Vigilance<br>Enchanted creature gets +2/+2 and has vigilance.",2,2,8
25,Ordeal of Heliod,2,{1}{W},Enchantment - Aura,Uncommon,Enchant,"Enchant creature<br>Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Heliod.<br>When you sacrifice Ordeal of Heliod, you gain 10 life.",,,8
26,Phalanx Leader,2,{W}{W},Creature - Human Soldier,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Phalanx Leader, put a +1/+1 counter on each creature you control.",1,1,10
27,Ray of Dissolution,3,{2}{W},Instant,Common,,Destroy target enchantment. You gain 3 life.,,,7
28,Scholar of Athreos,3,{2}{W},Creature - Human Cleric,Common,,{2}{B}: Each opponent loses 1 life. You gain life equal to the life lost this way.,1,4,6
29,Setessan Battle Priest,2,{1}{W},Creature - Human Cleric,Common,Heroic,"Heroic- Whenever you cast a spell that targets Setessan Battle Priest, you gain 2 life.",1,3,5
30,Setessan Griffin,5,{4}{W},Creature - Griffin,Common,Flying,Flying<br>{2}{G}{G}: Setessan Griffin gets +2/+2 until end of turn. Activate this ability only once each turn.,3,2,8
31,Silent Artisan,5,{3}{W}{W},Creature - Giant,Common,,,3,5,7
32,Soldier of the Pantheon,1,{W},Creature - Human Soldier,Rare,Protection,"Protection from multicolored<br>Whenever an opponent casts a multicolored spell, you gain 1 life.",2,1,8
33,Spear of Heliod,3,{1}{W}{W},Legendary Enchantment Artifact,Rare,,"Creatures you control get +1/+1.<br>{1}{W}{W}, {T}: Destroy target creature that dealt damage to you this turn.",,,11
34,Traveling Philosopher,2,{1}{W},Creature - Human Advisor,Common,,,2,2,8
35,Vanquish the Foul,6,{5}{W},Sorcery,Uncommon,Scry,Destroy target creature with power 4 or greater. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,8
36,Wingsteed Rider,3,{1}{W}{W},Creature - Human Knight,Common,"Flying, Heroic","Flying<br>Heroic- Whenever you cast a spell that targets Wingsteed Rider, put a +1/+1 counter on Wingsteed Rider.",2,2,10
37,Yoked Ox,1,{W},Creature - Ox,Common,,,0,4,5
38,Annul,1,{U},Instant,Common,,Counter target artifact or enchantment spell.,,,5
39,Aqueous Form,1,{U},Enchantment - Aura,Common,"Enchant, Scry","Enchant creature<br>Enchanted creature can't be blocked.<br>Whenever enchanted creature attacks, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>",,,7
40,Artisan of Forms,2,{1}{U},Creature - Human Wizard,Rare,Heroic,"Heroic- Whenever you cast a spell that targets Artisan of Forms, you may have Artisan of Forms become a copy of target creature and gain this ability.",1,1,7
41,Benthic Giant,6,{5}{U},Creature - Giant,Common,Hexproof,Hexproof <i>(This creature can't be the target of spells or abilities your opponents control.)</i>,4,5,7
42,Bident of Thassa,4,{2}{U}{U},Legendary Enchantment Artifact,Rare,,"Whenever a creature you control deals combat damage to a player, you may draw a card.<br>{1}{U}, {T}: Creatures your opponents control attack this turn if able.",,,8
43,Breaching Hippocamp,4,{3}{U},Creature - Horse Fish,Common,Flash,"Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>When Breaching Hippocamp enters the battlefield, untap another target creature you control.",3,2,6
44,Coastline Chimera,4,{3}{U},Creature - Chimera,Common,Flying,Flying<br>{1}{W}: Coastline Chimera can block an additional creature this turn.,1,5,8
45,Crackling Triton,3,{2}{U},Creature - Merfolk Wizard,Common,,"{2}{R}, Sacrifice Crackling Triton: Crackling Triton deals 2 damage to target creature or player.",2,3,8
46,Curse of the Swine,2,{X}{U}{U},Sorcery,Rare,,"Exile X target creatures. For each creature exiled this way, its controller puts a 2/2 green Boar creature token onto the battlefield.",,,11
47,Dissolve,3,{1}{U}{U},Instant,Uncommon,Scry,Counter target spell. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,8
48,Fate Foretold,2,{1}{U},Enchantment - Aura,Common,Enchant,"Enchant creature<br>When Fate Foretold enters the battlefield, draw a card.<br>When enchanted creature dies, its controller draws a card.",,,5
49,Gainsay,2,{1}{U},Instant,Uncommon,,Counter target blue spell.,,,2
50,Griptide,4,{3}{U},Instant,Common,,Put target creature on top of its owner's library.,,,9
51,Horizon Scholar,6,{5}{U},Creature - Sphinx,Uncommon,"Flying, Scry","Flying<br>When Horizon Scholar enters the battlefield, scry 2. <i>(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",4,4,11
52,Lost in a Labyrinth,1,{U},Instant,Common,Scry,Target creature gets -3/-0 until end of turn. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,5
53,Master of Waves,4,{3}{U},Creature - Merfolk Wizard,Mythic Rare,"Protection, Devotion","Protection from red<br>Elemental creatures you control get +1/+1.<br>When Master of Waves enters the battlefield, put a number of 1/0 blue Elemental creature tokens onto the battlefield equal to your devotion to blue. <i>(Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)</i>",2,1,10
54,Meletis Charlatan,3,{2}{U},Creature - Human Wizard,Rare,,"{2}{U}, {T}: The controller of target instant or sorcery spell copies it. That player may choose new targets for the copy.",2,3,9
